Date,Close/Last,Volume,Open,High,Low
09/03/2024,56734.50,N/A,59109.70,57929.80,55732.10
09/02/2024,59131.20,N/A,57757.50,59799.70,59046.80
09/01/2024,57647.00,N/A,58526.10,57736.60,57185.80
08/31/2024,58604.20,N/A,59237.30,59058.70,58289.10
08/30/2024,59254.60,N/A,59036.30,59447.00,59084.00
08/29/2024,59076.90,N/A,59143.50,59480.70,58923.60
08/28/2024,59192.70,N/A,62764.50,59649.30,58932.10
08/27/2024,59309.40,N/A,62920.60,59448.30,58932.10
08/26/2024,62960.00,N/A,64118.40,63201.40,62671.00
08/25/2024,64095.50,N/A,64108.30,64472.50,63812.90
08/24/2024,64210.30,N/A,63635.40,64458.90,63643.20
08/23/2024,63817.10,N/A,60597.00,64178.00,63643.20
08/22/2024,60581.80,N/A,60552.20,60922.20,60354.40
08/21/2024,60445.60,N/A,59299.90,61213.10,59815.80
08/20/2024,59233.10,N/A,60604.60,59512.40,58831.10
08/19/2024,60587.70,N/A,58743.20,60878.50,59382.10
08/18/2024,58731.80,N/A,59340.40,58760.80,58274.70
08/17/2024,59515.10,N/A,59154.90,60210.30,59395.30
08/16/2024,59041.20,N/A,57892.40,59387.40,58825.50
08/15/2024,57900.20,N/A,58443.10,58374.20,57129.10
08/14/2024,58475.90,N/A,60966.00,59047.20,58076.70
08/13/2024,61064.20,N/A,59030.10,61268.50,60437.20
08/12/2024,58960.60,N/A,58511.40,59908.70,58890.00
08/11/2024,58554.60,N/A,61097.50,59072.80,58283.40
08/10/2024,61116.20,N/A,60441.20,61361.60,60902.10
08/09/2024,60507.30,N/A,61365.80,61344.50,60322.50
08/08/2024,61285.70,N/A,57079.90,61712.30,60818.50
08/07/2024,57209.10,N/A,56883.10,57635.70,54786.90
08/06/2024,56789.10,N/A,55682.90,57260.50,55641.30
08/05/2024,55701.40,N/A,53942.40,56228.60,53998.20
08/04/2024,54162.30,N/A,60731.10,58291.40,52659.80
08/03/2024,60379.50,N/A,61989.00,62184.20,59914.60
08/02/2024,61813.90,N/A,64598.80,61847.50,60532.90
08/01/2024,64471.70,N/A,63941.20,65567.10,63697.10
07/31/2024,64036.60,N/A,66070.90,64827.60,63763.10
07/30/2024,66047.00,N/A,66609.60,66395.50,65912.20
07/29/2024,66545.20,N/A,69350.60,66868.20,65896.90
07/28/2024,69349.90,N/A,67945.10,69762.00,68178.70
07/27/2024,68039.20,N/A,67802.00,68279.00,67392.90
07/26/2024,67792.40,N/A,67049.90,68080.20,67647.00
07/25/2024,67092.00,N/A,64113.70,67438.50,65764.30
07/24/2024,63991.80,N/A,66054.40,65615.90,63914.40
07/23/2024,66054.50,N/A,67649.90,66105.30,65481.10
07/22/2024,67486.80,N/A,67051.30,68468.90,67484.70
07/21/2024,67923.60,N/A,67292.30,68468.90,67787.90
07/20/2024,67192.60,N/A,66583.40,67395.40,66977.00
07/19/2024,66670.60,N/A,63814.40,66825.60,66257.40
07/18/2024,64290.30,N/A,64700.20,64365.00,63326.10
07/17/2024,64919.90,N/A,65621.90,65040.10,63923.30
07/16/2024,65758.00,N/A,64762.80,66051.50,64975.50
07/15/2024,64773.50,N/A,62653.10,64953.40,64457.30
07/14/2024,62704.30,N/A,59483.50,62745.40,60678.80
07/13/2024,59388.60,N/A,57813.80,59837.80,59207.90
07/12/2024,57861.70,N/A,56918.00,57976.90,57770.60
07/11/2024,56919.70,N/A,57566.60,57563.20,56575.70
07/10/2024,57454.50,N/A,58181.80,58350.30,57095.00
07/09/2024,58151.00,N/A,57167.80,58152.70,57376.90
07/08/2024,57200.80,N/A,55174.90,57299.20,56306.30
07/07/2024,55155.50,N/A,57969.30,56017.00,54320.00
07/06/2024,57860.70,N/A,56592.10,58258.70,57860.00
07/05/2024,56399.90,N/A,55226.50,56975.70,56198.00
07/04/2024,55337.80,N/A,59102.90,57471.10,55109.00
07/03/2024,59045.50,N/A,60957.50,60463.00,58055.40
07/02/2024,60947.20,N/A,63118.80,62263.60,60756.90
07/01/2024,63111.80,N/A,63426.40,63257.00,62794.00
06/30/2024,63434.00,N/A,60888.40,63786.80,62583.40
06/29/2024,60917.50,N/A,60738.10,61061.80,60757.70
06/28/2024,60745.00,N/A,61814.60,60979.20,60382.80
06/27/2024,61805.10,N/A,61006.20,62175.40,61478.00
06/26/2024,61028.50,N/A,61934.90,61206.40,60786.40
06/25/2024,61963.80,N/A,61299.10,62469.40,61652.70
06/24/2024,61376.30,N/A,62857.10,61585.50,60262.20
06/23/2024,62914.20,N/A,64420.00,63357.10,62732.80
06/22/2024,64460.60,N/A,64319.40,64518.90,64261.00
06/21/2024,64275.70,N/A,64512.90,64335.60,63944.00
06/20/2024,64696.40,N/A,65179.00,65054.90,64638.50
06/19/2024,65294.20,N/A,65464.70,65706.40,64843.90
06/18/2024,65430.80,N/A,65483.40,65561.20,64843.90
06/17/2024,65502.20,N/A,66231.80,66571.20,64589.40
06/16/2024,66290.60,N/A,66139.50,66893.00,66243.90
06/15/2024,66039.10,N/A,65735.10,66446.40,65895.10
06/14/2024,66235.00,N/A,66736.20,66274.70,65976.20
06/13/2024,66738.90,N/A,67455.80,67018.00,66495.90
06/12/2024,67322.90,N/A,67403.40,68384.60,67014.50
06/11/2024,67389.80,N/A,68456.90,67577.80,66911.50
06/10/2024,68320.50,N/A,69612.30,69573.30,67969.30
06/09/2024,69611.80,N/A,69259.70,69798.10,69426.00
06/08/2024,69275.00,N/A,69439.30,69337.40,69136.70
06/07/2024,69485.60,N/A,70990.70,69514.70,69295.10
06/06/2024,70979.20,N/A,71053.30,70998.00,70668.00
06/05/2024,71053.70,N/A,70838.60,71237.80,70910.10
06/04/2024,70873.90,N/A,69136.70,71224.50,70433.20
06/03/2024,69154.60,N/A,68408.10,69361.60,68707.90
06/02/2024,68441.30,N/A,67712.60,68778.10,67616.80
06/01/2024,67796.60,N/A,67715.00,67893.30,67641.10
05/31/2024,67715.50,N/A,68535.60,67746.50,67449.60
05/30/2024,68611.50,N/A,68093.50,68705.80,68292.70
05/29/2024,68144.40,N/A,68670.20,68183.00,67462.60
05/28/2024,67796.00,N/A,68392.80,69560.70,67496.10
